Token	Label
food	O
a	O
fast	O
grow	O
winne	O
online	O
food	O
community	O
and	O
crowd	O
source	O
and	O
curate	O
recipe	O
hub	O
be	O
currently	O
interview	O
full-	O
and	O
part	O
time	O
unpaid	O
intern	O
to	O
work	O
in	O
a	O
small	O
team	O
of	O
editor	O
executive	O
and	O
developer	O
in	O
its	O
New	O
York	O
City	O
headquarters	O
.	O
organise	O
focus	O
NAME_MASKED	O
Awesome	O
.	O
do	O
you	O
have	O
a	O
passion	O
for	O
customer	O
service	O
.	O
NAME_MASKED	O
typing	O
skill	Masculine-coded words
.	O
maybe	O
Account	O
Management	O
.	O
and	O
think	O
administration	O
be	O
cool	O
than	O
a	O
polar	O
bear	O
on	O
a	O
jetski	O
.	O
then	O
we	O
need	O
to	O
hear	O
you	O
.	O
we	O
be	O
the	O
Cloud	O
Video	O
Production	O
Service	O
and	O
opperate	O
on	O
a	O
glodal	O
level	O
.	O
yeah	O
it	O
be	O
pretty	O
cool	O
.	O
serious	O
about	O
deliver	O
a	O
world	O
class	Feminine-coded words
product	O
and	O
excellent	O
customer	O
service	O
.	O
our	O
rapidly	O
expand	O
business	O
be	O
look	O
for	O
a	O
talented	O
Project	O
Manager	O
to	O
manage	O
the	O
successful	O
delivery	O
of	O
video	O
project	O
manage	O
client	O
communication	O
and	O
drive	O
the	O
production	O
process	O
.	O
work	Feminine-coded words
with	O
some	O
of	O
the	O
cool	O
brand	O
on	O
the	O
planet	O
and	O
learn	O
from	O
a	O
global	O
team	O
that	O
be	O
represent	O
NZ	O
be	O
a	O
huge	O
way	O
.	O
we	O
be	O
enter	O
the	O
next	O
growth	O
stage	O
of	O
our	O
business	O
and	O
grow	O
quickly	O
internationally	O
.	O
therefore	O
the	O
position	O
be	O
burst	O
with	O
opportunity	O
for	O
the	O
right	O
person	O
enter	O
the	O
business	O
at	O
the	O
right	O
time	O
.	O
second	O
the	O
world	O
Cloud	O
Video	O
Production	O
Service	O
url_masked	O
second	O
be	O
the	O
world	O
Cloud	O
Video	O
Production	O
Service	O
enable	O
brand	O
and	O
agency	O
to	O
get	O
high	O
quality	O
online	O
video	O
content	O
shoot	O
and	O
produce	O
anywhere	O
in	O
the	O
world	O
.	O
fast	O
affordable	O
and	O
all	O
manage	O
seamlessly	O
in	O
the	O
cloud	O
from	O
purchase	O
to	O
publish	Masculine-coded words
.	O
second	O
remove	O
the	O
hassle	O
cost	O
risk	O
and	O
speed	O
issue	O
of	O
work	Feminine-coded words
with	O
regular	O
video	O
production	O
company	O
by	O
manage	O
every	O
aspect	O
of	O
video	O
project	O
in	O
a	O
beautiful	O
online	O
experience	O
.	O
with	O
a	O
grow	O
network	O
of	O
over	O
2	O
rate	O
video	O
professional	O
in	O
over	O
country	O
and	O
dedicated	O
production	O
success	O
team	O
in	O
5	O
country	O
guarantee	O
video	O
project	O
success	O
.	O
it	O
be	O
as	O
easy	O
as	O
commission	O
a	O
quick	O
google	O
adword	O
campaign	O
.	O
second	O
have	O
produce	O
almost	O
4	O
video	O
in	O
over	O
country	O
for	O
over	O
global	O
brand	O
include	O
some	O
of	O
the	O
world	O
large	O
include	O
Paypal	O
L'oreal	O
Sony	O
and	O
Barclays	O
and	O
have	O
office	O
in	O
Auckland	O
London	O
NAME_MASKED	O
Tokyo	O
Singapore	O
.	O
our	O
Auckland	O
office	O
be	O
base	O
right	O
in	O
the	O
heart	O
of	O
the	O
Wynyard	O
Quarter	O
Innovation	O
Precinct	O
GridAKL	O
.	O
our	O
client	O
locate	O
in	O
Houston	O
be	O
actively	O
seek	O
an	O
experienced	O
Commissioning	O
Machinery	O
Assistant	O
that	O
possess	O
strong	O
supervisory	O
skill	Masculine-coded words
and	O
have	O
an	O
attention	O
to	O
detail	O
.	O
a	O
strong	O
dedication	O
to	O
safety	O
be	O
a	O
must	O
.	O
the	O
ideal	O
candidate	O
will	O
execute	O
all	O
activity	O
while	O
comply	O
with	O
quality	O
requirement	O
and	O
health	O
environmental	O
and	O
safety	O
regulation	O
.	O
the	O
company	O
ESRI	O
–	O
Environmental	O
Systems	O
Research	O
Institute	O
our	O
passion	O
for	O
improve	O
quality	O
of	O
life	O
through	O
geography	O
be	O
at	O
the	O
heart	O
of	O
everything	O
we	O
do	O
.	O
Esri	O
geographic	O
information	O
system	O
GIS	O
technology	O
inspire	O
and	O
enable	O
government	O
university	O
and	O
business	O
worldwide	O
to	O
save	O
money	O
life	O
and	O
our	O
environment	O
through	O
a	O
deep	O
understanding	O
of	O
the	O
change	O
world	O
around	O
they	O
.	O
carefully	O
manage	O
growth	O
and	O
zero	O
debt	O
give	O
Esri	O
stability	O
that	O
be	O
uncommon	O
in	O
today	O
's	O
volatile	O
business	O
world	O
.	O
privately	O
hold	O
we	O
offer	O
exceptional	Masculine-coded words
benefit	O
competitive	O
salary	O
k	O
and	O
profit	O
share	Feminine-coded words
program	O
opportunity	O
for	O
personal	O
and	O
professional	O
growth	O
and	O
much	O
more	O
.	O
the	O
opportunity	O
Account	O
Executive	O
as	O
a	O
member	O
of	O
the	O
Sales	O
Division	O
you	O
will	O
work	Feminine-coded words
collaboratively	O
with	O
an	O
account	O
team	O
in	O
order	O
to	O
sell	O
and	O
promote	O
adoption	O
of	O
Esri	O
arcgis	O
platform	O
within	O
an	O
organization	O
.	O
as	O
part	O
of	O
an	O
account	O
team	O
you	O
will	O
be	O
responsible	O
for	O
facilitate	O
the	O
development	O
and	O
execution	O
of	O
a	O
set	O
of	O
strategy	O
for	O
a	O
define	O
portfolio	O
of	O
account	O
.	O
when	O
execute	O
these	O
strategy	O
you	O
will	O
utilize	O
your	O
experience	O
in	O
enterprise	O
sale	O
to	O
help	O
customer	O
leverage	O
geospatial	O
information	O
and	O
technology	O
to	O
achieve	O
their	O
business	O
goal	O
.	O
JOB	O
TITLE	O
Itemization	O
Review	O
Manager	O
location	O
Fort	O
Worth	O
tx	O
department	O
Itemization	O
Review	O
report	O
to	O
VP	O
Operations	O
GENERAL	O
description	O
responsible	O
for	O
the	O
overall	O
aspect	O
of	O
Itemization	O
Review	O
operation	O
Personnel	O
Hiring	O
Quality	O
Control	O
of	O
Process	O
Workflow	O
monitor	O
the	O
tracking	O
of	O
and	O
accountability	O
of	O
staff	O
regard	O
production	O
standard	O
and	O
department	O
expectation	O
.	O
Job	O
Overview	O
NAME_MASKED	O
be	O
an	O
environmental	O
consulting	O
firm	O
that	O
offer	O
stable	O
leadership	O
and	O
growth	O
and	O
view	O
employee	O
as	O
valuable	O
resource	O
.	O
we	O
be	O
seek	O
a	O
self	O
motivated	O
multi	O
faceted	O
Accounts	O
payable	O
Clerk	O
to	O
join	O
our	O
team	O
in	O
Rockville	O
MD	O
and	O
become	O
an	O
integral	O
part	O
of	O
our	O
continued	O
success	O
story	O
.	O
this	O
position	O
entail	O
process	O
high	O
volume	O
of	O
invoice	O
and	O
work	Feminine-coded words
in	O
a	O
fast	O
pace	O
environment	O
keying	O
and	O
verify	O
various	O
type	O
of	O
invoice	O
to	O
General	O
NAME_MASKED	O
account	O
and	O
job	O
number	O
submit	O
by	O
vendor	O
and	O
company	O
personnel	O
and	O
calculate	O
balance	O
due	O
to	O
vendor	O
by	O
review	O
history	O
of	O
prior	O
payment	O
make	O
to	O
an	O
account	O
.	O
candidate	O
must	O
be	O
able	Masculine-coded words
to	O
answer	O
vendor	O
and	O
personnel	O
inquiry	O
via	O
phone	O
or	O
email	O
.	O
qualification	O
this	O
position	O
require	O
a	O
high	O
school	O
diploma	O
and	O
year	O
of	O
relevant	O
work	Feminine-coded words
experience	O
keen	O
attention	O
to	O
detail	O
knowledge	O
of	O
commonly	O
use	O
concept	O
practice	O
and	O
procedure	O
within	O
the	O
accounting	O
field	O
experience	O
with	O
accounting	O
software	O
proficiency	O
in	O
MS	O
Office	O
Suite	O
include	O
advance	O
Excel	O
experience	O
and	O
a	O
high	O
degree	O
of	O
professionalism	O
.	O
want	O
to	O
join	O
a	O
team	O
of	O
talented	O
accounting	O
professional	O
engineer	O
and	O
manager	O
.	O
submit	O
your	O
resume	O
for	O
consideration	O
today	O
.	O
url_masked	O
about	O
NAME_MASKED	O
NAME_MASKED	O
be	O
a	O
customer	O
focus	O
company	O
that	O
deliver	O
environmental	O
health	O
safety	O
and	O
engineering	O
service	Feminine-coded words
to	O
over	O
client	O
across	O
the	O
United	O
States	O
and	O
abroad	O
.	O
drive	O
by	O
an	O
entrepreneurial	O
spirit	O
and	O
a	O
dedication	O
to	O
provide	O
responsive	O
cost	O
effective	O
solution	O
NAME_MASKED	O
have	O
grow	O
rapidly	O
since	O
our	O
founding	O
in	O
.	O
work	Feminine-coded words
in	O
partnership	O
with	O
our	O
public	O
and	O
private	O
sector	O
client	O
our	O
team	O
of	O
expert	Masculine-coded words
provide	O
service	Feminine-coded words
tailor	O
to	O
support	Feminine-coded words
each	O
customer	O
unique	Masculine-coded words
goal	O
and	O
objective	Masculine-coded words
.	O
by	O
blend	O
strong	O
technical	O
skill	Masculine-coded words
business	O
acuman	O
and	O
superior	Masculine-coded words
customer	O
service	Feminine-coded words
we	O
be	O
able	Masculine-coded words
to	O
deliver	O
creative	Masculine-coded words
solution	O
that	O
deliver	O
high	O
quality	O
result	Masculine-coded words
at	O
low	O
cost	O
.	O
from	O
commercial	O
and	O
industrial	O
firm	O
to	O
construction	O
petroleum	O
and	O
utility	O
company	O
to	O
financial	O
institution	O
and	O
government	O
client	O
NAME_MASKED	O
have	O
extensive	O
experience	O
in	O
a	O
wide	O
variety	O
of	O
industry	O
.	O
our	O
corporate	O
professional	O
resume	O
include	O
prove	O
capability	O
in	O
the	O
area	O
of	O
water	O
resource	O
remediation	O
and	O
restoration	O
assessment	O
and	O
compliance	O
and	O
industrial	O
hygiene	O
among	O
other	O
.	O
rank	O
in	O
the	O
Top	O
Environmental	O
Firms	O
by	O
ENR	O
Magazine	O
rank	O
among	O
the	O
Top	O
Design	O
Firms	O
by	O
ENR	O
Magazine	O
award	O
the	O
National	O
Environmental	O
Excellence	O
Award	O
for	O
Environmental	O
Stewardship	O
by	O
the	O
National	O
Association	O
of	O
Environmental	O
Professionals	O
and	O
select	O
as	O
a	O
Hot	O
Firm	O
by	O
the	O
NAME_MASKED	O
Letter	O
come	O
join	O
our	O
award	O
win	O
team	O
.	O
name_masked	O
be	O
an	O
entrepreneurial	O
firm	O
and	O
ensure	O
that	O
our	O
senior	O
manager	O
be	O
able	Masculine-coded words
to	O
move	O
unencumbered	O
be	O
our	O
priority	O
.	O
we	O
be	O
a	O
successful	O
and	O
grow	O
mid	O
sized	O
firm	O
.	O
we	O
small	O
enough	O
that	O
our	O
employee	O
still	O
have	O
access	O
to	O
our	O
leadership	O
and	O
it	O
’	O
easy	O
for	O
high	O
performer	O
to	O
be	O
recognize	O
for	O
their	O
contribution	Masculine-coded words
and	O
advance	O
without	O
bureaucracy	O
.	O
with	O
over	O
office	O
location	O
we	O
big	O
enough	O
to	O
provide	O
comprehensive	O
environmental	O
consulting	O
and	O
engineering	O
service	Feminine-coded words
to	O
our	O
diverse	O
client	O
base	O
and	O
to	O
provide	O
resource	O
to	O
our	O
employee	O
to	O
help	O
in	O
their	O
professional	O
development	O
.	O
we	O
offer	O
incentive	O
bonus	O
plan	O
and	O
ownership	O
opportunity	O
for	O
our	O
successful	O
manager	O
.	O
who	O
be	O
.	O
hey	O
there	O
.	O
we	O
be	O
season	O
entrepreneur	O
in	O
the	O
heart	O
of	O
San	O
Francisco	O
SOMA	O
neighborhood	O
.	O
we	O
be	O
look	O
for	O
someone	O
who	O
embody	O
an	O
entrepreneurial	O
spirit	O
pay	O
strong	O
attention	O
to	O
detail	O
and	O
want	O
to	O
be	O
a	O
part	O
of	O
the	O
next	O
big	O
thing	O
.	O
this	O
business	O
can	O
feel	Feminine-coded words
like	O
a	O
circus	O
at	O
time	O
but	O
we	O
have	O
an	O
all	O
star	O
team	O
with	O
a	O
one	O
of	O
a	O
kind	Feminine-coded words
culture	O
.	O
get	O
a	O
little	O
taste	O
of	O
it	O
here	O
.	O
be	O
the	O
1	O
technology	O
drive	O
property	O
management	O
company	O
in	O
a	O
multi	O
billion	O
dollar	O
industry	O
and	O
be	O
revolutionize	O
the	O
vacation	O
rental	O
space	O
.	O
we	O
be	O
grow	O
at	O
record	O
speed	O
and	O
expand	O
to	O
new	O
market	O
.	O
our	O
platform	O
allow	O
owner	O
to	O
put	O
their	O
vacation	O
rental	O
on	O
autopilot	O
.	O
we	O
be	O
a	O
proven	O
team	O
of	O
startup	O
veteran	O
and	O
would	O
love	O
for	O
you	O
to	O
join	O
the	O
family	O
.	O
in	O
we	O
be	O
name	O
the	O
1	O
Airbnb	O
property	O
management	O
company	O
in	O
San	O
Francisco	O
accord	O
to	O
the	O
SF	O
Chronicle	O
.	O
we	O
have	O
supportive	O
and	O
resourceful	O
investor	O
many	O
of	O
whom	O
be	O
leader	O
in	O
the	O
technology	O
and	O
real	O
estate	O
industry	O
.	O
the	O
position	O
want	O
Ultimate	O
Peace	O
Keeper	O
Problem	O
Solver	O
be	O
grow	O
fast	O
than	O
we	O
can	O
handle	O
which	O
be	O
why	O
we	O
look	O
for	O
someone	O
to	O
help	O
we	O
scale	O
.	O
we	O
be	O
seek	O
well	O
in	O
class	Feminine-coded words
Lead	O
Guest	O
Service	O
Specialist	O
who	O
be	O
passionate	O
about	O
delight	O
Guests	O
and	O
Owners	O
.	O
you	O
play	O
a	O
direct	O
role	O
in	O
improve	O
the	O
customer	O
experience	O
scale	O
the	O
business	O
and	O
create	O
powerful	O
brand	O
advocate	O
.	O
responsibility	O
Service	O
First	O
Interact	O
with	O
Guests	O
and	O
Owners	O
daily	O
listen	O
and	O
address	O
inquiry	O
via	O
phone	O
email	O
and	O
chat	O
.	O
leadership	O
set	O
the	O
precedent	O
for	O
write	O
beautiful	O
helpful	O
email	O
and	O
get	O
to	O
inbox	O
zero	O
.	O
be	O
the	O
first	O
to	O
answer	O
the	O
phone	O
and	O
the	O
last	O
to	O
give	O
up	O
on	O
an	O
interesting	O
escalation	O
.	O
Cross	O
Collaboration	O
Act	O
as	O
the	O
eye	O
and	O
ear	O
of	O
the	O
business	O
.	O
speak	O
to	O
bug	O
request	O
new	O
feature	O
and	O
influence	O
the	O
product	O
positively	O
.	O
Ultimate	O
Multitasker	O
you	O
able	Masculine-coded words
to	O
manage	O
multiple	O
day	O
to	O
day	O
gift	Masculine-coded words
at	O
once	O
.	O
you	O
able	Masculine-coded words
to	O
ensure	O
that	O
each	O
person	O
in	O
contact	O
with	O
have	O
a	O
positive	O
experience	O
even	O
when	O
face	O
hundred	O
of	O
email	O
a	O
day	O
.	O
you	O
.	O
prove	O
ability	Masculine-coded words
to	O
take	O
customer	O
from	O
irate	O
to	O
delighted	O
  	O
to	O
make	O
decision	Masculine-coded words
quickly	O
high	O
sense	O
of	O
urgency	O
that	O
spill	O
out	O
to	O
other	O
team	O
member	O
Passion	O
for	O
delight	O
people	O
.	O
the	O
Customer	O
Service	O
Associate	O
will	O
be	O
base	O
in	O
NAME_MASKED	O
AZ	O
.	O
the	O
right	O
candidate	O
will	O
be	O
an	O
integral	O
part	O
of	O
our	O
talented	O
team	O
support	Feminine-coded words
our	O
continued	O
growth	O
.	O
responsibility	O
perform	O
various	O
Mail	O
Center	O
activity	O
sort	O
metering	O
folding	O
inserting	O
delivery	O
pickup	O
etc	O
.	O
position	O
url_masked	O
DeveloperJob	O
location	O
United	O
States	O
New	O
Jersey	O
Jersey	O
CityUs	O
work	Feminine-coded words
status	O
require	O
EAD	O
Green	O
Card	O
US	O
Citizens	O
Detailed	O
Description	O
developer	O
with	O
strong	O
SQL	O
url_masked	O
work	Feminine-coded words
in	O
a	O
highly	O
effective	O
software	O
development	O
team	O
responsible	O
for	O
development	O
of	O
and	O
enhancement	O
to	O
our	O
IDB	O
reporting	O
and	O
billing	O
system	O
.	O
all	O
work	Feminine-coded words
effort	Feminine-coded words
will	O
be	O
perform	O
accord	O
to	O
policy	O
and	O
procedure	O
relate	O
to	O
software	O
development	O
and	O
quality	O
.	O
background	O
developer	O
with	O
5	O
year	O
of	O
development	O
experience	O
use	O
url_masked	O
url_masked	O
include	O
year	O
in	O
SQL	O
development	O
.	O
Required	O
College	O
degree	O
experience	O
building	O
web	O
base	O
application	O
use	O
url_masked	O
and	O
SQL	O
Server	O
.	O
expert	Masculine-coded words
level	O
hand	O
on	O
experience	O
write	O
SQL	O
Server	O
Stored	O
Procedures	O
.	O
proficient	Masculine-coded words
in	O
MS	O
Office	O
product	O
Excel	O
Access	O
Word	O
Outlook	O
work	Feminine-coded words
in	O
a	O
role	O
that	O
involve	O
the	O
creation	O
of	O
report	O
for	O
internal	O
management	O
and/or	O
external	O
customer	O
.	O
experience	O
develop	O
in	O
another	O
scripting	O
front	O
end	O
language	O
.	O
excellent	O
communication	O
skillsIf	O
you	O
be	O
interested	O
please	O
send	O
your	O
update	O
profile	O
to	O
url_masked	O
for	O
